timeStamp;roomX;roomZ;roomAngle;targetId;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
26.14737;24.62672;-13.94008;2.852812;3;38.29759;-10.16768;-0.2595048;39.62432;0
26.14737;24.62672;-13.94008;2.852812;4;48.401;-28.81941;5.746133;56.3313;0
26.14737;24.62672;-13.94008;2.852812;5;28.19374;8.489497;0.2924774;29.44416;0
26.14737;24.62672;-13.94008;2.852812;6;9.571144;-1.628607;-0.1685437;9.708716;12
26.14737;24.62672;-13.94008;2.852812;7;0.9868702;-30.39266;4.744848;30.40868;0
26.17511;24.65832;-14.04645;2.852812;0;11.09532;-49.14173;4.934448;50.37872;0
26.17511;24.65832;-14.04645;2.852812;1;-9.13722;-11.85407;4.055703;14.96689;0
26.17511;24.65832;-14.04645;2.852812;2;29.7492;-39.03331;5.36362;49.07764;0
26.17511;24.65832;-14.04645;2.852812;3;38.29756;-10.27167;-0.2620399;39.6511;0
26.17511;24.65832;-14.04645;2.852812;4;48.40099;-28.92332;5.744549;56.38452;0
26.17511;24.65832;-14.04645;2.852812;5;28.19377;8.385557;0.2890936;29.41439;0
26.17511;24.65832;-14.04645;2.852812;6;9.570992;-1.732926;-0.1791197;9.726609;12
26.17511;24.65832;-14.04645;2.852812;7;0.9868653;-30.49652;4.744738;30.51248;0
26.20106;24.68788;-14.14595;2.852812;0;11.09533;-49.25268;4.933964;50.48696;0
26.20106;24.68788;-14.14595;2.852812;1;-9.137025;-11.96499;4.060211;15.05478;0
26.20106;24.68788;-14.14595;2.852812;2;29.74918;-39.14428;5.362252;49.16593;0
26.20106;24.68788;-14.14595;2.852812;3;38.29756;-10.38259;-0.2647398;39.67999;0
26.20106;24.68788;-14.14595;2.852812;4;48.40098;-29.03428;5.742862;56.44151;0
26.20106;24.68788;-14.14595;2.852812;5;28.1938;8.274545;0.2854719;29.38296;0
26.20106;24.68788;-14.14595;2.852812;6;9.57082;-1.844341;-0.190371;9.746907;12
26.20106;24.68788;-14.14595;2.852812;7;0.9868608;-30.60744;4.74462;30.62335;0
26.22708;24.71752;-14.24572;2.852812;0;11.09531;-49.35646;4.933513;50.5882;0
26.22708;24.71752;-14.24572;2.852812;1;-9.136844;-12.06874;4.06438;15.13725;0
26.22708;24.71752;-14.24572;2.852812;2;29.74918;-39.24806;5.360977;49.24859;0
26.22708;24.71752;-14.24572;2.852812;3;38.29756;-10.48637;-0.2672623;39.70726;0
26.22708;24.71752;-14.24572;2.852812;4;48.40098;-29.13806;5.741286;56.49497;0
26.22708;24.71752;-14.24572;2.852812;5;28.19382;8.170709;0.2820775;29.35391;0
26.22708;24.71752;-14.24572;2.852812;6;9.570651;-1.948543;-0.2008505;9.766994;12
26.22708;24.71752;-14.24572;2.852812;7;0.9868634;-30.71119;4.744512;30.72704;0
26.25421;24.74843;-14.34976;2.852812;0;11.09532;-49.46052;4.933063;50.68974;0
26.25421;24.74843;-14.34976;2.852812;1;-9.136672;-12.17277;4.068515;15.22022;0
26.25421;24.74843;-14.34976;2.852812;2;29.74915;-39.35215;5.359702;49.33157;0
